taxonID	vernacularName	language	countryCode	locality	source
6848853	Gaviota reidora	Spanish			Gill, Frank, and Minturn Wright. 2006. Birds of the World: Recommended English Names.
6848853	Gaviota reidora	Spanish			2005. website, AOU Check-List (07-2005).
6848853	Gaviota reidora	Spanish			2001. database, Comisión Nacional para el Conocimiento y Uso de la Biodiversidad.
6848853	Gaviota reidora	Spanish			2003. database, http://www.menv.gouv.qc.ca/biodiversite/centre.htm.
6848858	Audouin's Gull	English			Gill, Frank, and Minturn Wright. 2006. Birds of the World: Recommended English Names.
6848859	Belcher's Gull	English			Gill, Frank, and Minturn Wright. 2006. Birds of the World: Recommended English Names.
6848859	Belcher's Gull	English			2005. website, AOU Check-List (07-2005).
6848859	Band-tailed Gull	English			Gill, Frank, and Minturn Wright. 2006. Birds of the World: Recommended English Names.
6848859	Band-tailed Gull	English			2005. website, AOU Check-List (07-2005).
6848860	Red-legged Kittiwake				Banks, R. C., R. W. McDiarmid, and A. L. Gardner. 1987. Checklist of Vertebrates of the United States, the U.S. Territories, and Canada. Resource Publication, no. 166.
6848862	Brown-headed Gull	English			Gill, Frank, and Minturn Wright. 2006. Birds of the World: Recommended English Names.
6848863	Black-billed Gull	English			Gill, Frank, and Minturn Wright. 2006. Birds of the World: Recommended English Names.
6863814	Yellow-legged Gull	English			Gill, Frank, and Minturn Wright. 2006. Birds of the World: Recommended English Names.
6863814	Yellow-legged Gull	English			2005. website, AOU Check-List (07-2005).
6848848	goéland de Californie	French			Gill, Frank, and Minturn Wright. 2006. Birds of the World: Recommended English Names.
6848848	goéland de Californie	French			2005. website, AOU Check-List (07-2005).
6848848	goéland de Californie	French			2001. database, Comisión Nacional para el Conocimiento y Uso de la Biodiversidad.
6848848	goéland de Californie	French			2003. database, http://www.menv.gouv.qc.ca/biodiversite/centre.htm.
6848848	Gaviota californiana	Spanish			Gill, Frank, and Minturn Wright. 2006. Birds of the World: Recommended English Names.
6848848	Gaviota californiana	Spanish			2005. website, AOU Check-List (07-2005).
6848848	Gaviota californiana	Spanish			2001. database, Comisión Nacional para el Conocimiento y Uso de la Biodiversidad.
6848848	Gaviota californiana	Spanish			2003. database, http://www.menv.gouv.qc.ca/biodiversite/centre.htm.
6848848	California Gull	English			Gill, Frank, and Minturn Wright. 2006. Birds of the World: Recommended English Names.
6848848	California Gull	English			2005. website, AOU Check-List (07-2005).
6848848	California Gull	English			2001. database, Comisión Nacional para el Conocimiento y Uso de la Biodiversidad.
6848848	California Gull	English			2003. database, http://www.menv.gouv.qc.ca/biodiversite/centre.htm.
6848851	Mew Gull	English			Gill, Frank, and Minturn Wright. 2006. Birds of the World: Recommended English Names.
6848851	Mew Gull	English			2005. website, AOU Check-List (07-2005).
6848851	Mew Gull	English			2001. database, Comisión Nacional para el Conocimiento y Uso de la Biodiversidad.
6848851	Mew Gull	English			2003. database, http://www.menv.gouv.qc.ca/biodiversite/centre.htm.
6848851	goéland cendré	French			Gill, Frank, and Minturn Wright. 2006. Birds of the World: Recommended English Names.
6848851	goéland cendré	French			2005. website, AOU Check-List (07-2005).
6848851	goéland cendré	French			2001. database, Comisión Nacional para el Conocimiento y Uso de la Biodiversidad.
6848851	goéland cendré	French			2003. database, http://www.menv.gouv.qc.ca/biodiversite/centre.htm.
6848851	Gaviota cana	Spanish			Gill, Frank, and Minturn Wright. 2006. Birds of the World: Recommended English Names.
6848851	Gaviota cana	Spanish			2005. website, AOU Check-List (07-2005).
6848851	Gaviota cana	Spanish			2001. database, Comisión Nacional para el Conocimiento y Uso de la Biodiversidad.
6848851	Gaviota cana	Spanish			2003. database, http://www.menv.gouv.qc.ca/biodiversite/centre.htm.
6848864	Grey-hooded Gull	English			Gill, Frank, and Minturn Wright. 2006. Birds of the World: Recommended English Names.
6848864	Grey-hooded Gull	English			2005. website, AOU Check-List (07-2005).
